frame.number,frame.time,frame.len,ip.len,tcp.len,udp.length,ip.src,ip.dst,_ws.col.Protocol
"131","Nov 22, 2024 12:44:46.911970000 CST","24682","24668","24616",,"10.10.1.1","10.10.1.2","TCP"
"132","Nov 22, 2024 12:44:46.911979000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"133","Nov 22, 2024 12:44:46.911988000 CST","20338","20324","20272",,"10.10.1.1","10.10.1.2","TCP"
"134","Nov 22, 2024 12:44:46.911993000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"135","Nov 22, 2024 12:44:46.912005000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"136","Nov 22, 2024 12:44:46.912020000 CST","20338","20324","20272",,"10.10.1.1","10.10.1.2","TCP"
"137","Nov 22, 2024 12:44:46.912039000 CST","39162","39148","39096",,"10.10.1.1","10.10.1.2","TCP"
"138","Nov 22, 2024 12:44:46.912044000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"139","Nov 22, 2024 12:44:46.912068000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"140","Nov 22, 2024 12:44:46.912076000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"141","Nov 22, 2024 12:44:46.912083000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"142","Nov 22, 2024 12:44:46.912102000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"143","Nov 22, 2024 12:44:46.912107000 CST","29026","29012","28960",,"10.10.1.1","10.10.1.2","TCP"
"144","Nov 22, 2024 12:44:46.912122000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"145","Nov 22, 2024 12:44:46.912138000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"146","Nov 22, 2024 12:44:46.912141000 CST","10202","10188","10136",,"10.10.1.1","10.10.1.2","TCP"
"147","Nov 22, 2024 12:44:46.912141000 CST","29026","29012","28960",,"10.10.1.1","10.10.1.2","TCP"
"148","Nov 22, 2024 12:44:46.912175000 CST","36266","36252","36200",,"10.10.1.1","10.10.1.2","TCP"
"149","Nov 22, 2024 12:44:46.912183000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"150","Nov 22, 2024 12:44:46.912194000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"151","Nov 22, 2024 12:44:46.912206000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"152","Nov 22, 2024 12:44:46.912217000 CST","27578","27564","27512",,"10.10.1.1","10.10.1.2","TCP"
"153","Nov 22, 2024 12:44:46.912221000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"154","Nov 22, 2024 12:44:46.912245000 CST","11650","11636","11584",,"10.10.1.1","10.10.1.2","TCP"
"155","Nov 22, 2024 12:44:46.912248000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"156","Nov 22, 2024 12:44:46.912258000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"157","Nov 22, 2024 12:44:46.912260000 CST","39162","39148","39096",,"10.10.1.1","10.10.1.2","TCP"
"158","Nov 22, 2024 12:44:46.912289000 CST","8754","8740","8688",,"10.10.1.1","10.10.1.2","TCP"
"159","Nov 22, 2024 12:44:46.912289000 CST","24682","24668","24616",,"10.10.1.1","10.10.1.2","TCP"
"160","Nov 22, 2024 12:44:46.912298000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"161","Nov 22, 2024 12:44:46.912318000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"162","Nov 22, 2024 12:44:46.912336000 CST","40610","40596","40544",,"10.10.1.1","10.10.1.2","TCP"
"163","Nov 22, 2024 12:44:46.912364000 CST","47850","47836","47784",,"10.10.1.1","10.10.1.2","TCP"
